market_id,platform,category,open_ts,close_ts,outcome,predicted,signal_offset_ms,bid_side,bid_price,shares,filled,queue_ahead_at_place,fill_time_ms,correct,realistic_pnl,naive_pnl,ref_price_open,ref_price_close
btc-updown-5m-1771841400,polymarket,btc,1771841400,1771841700,NO,YES,-28493,YES,0.49,10.0,true,60.62,79798,true,0.1999999999999993,0.1999999999999993,0.0,0.0
btc-updown-15m-1771841700,polymarket,btc,1771841700,1771842600,NO,YES,-28607,YES,0.49,10.0,true,0.0,-2198,true,0.1999999999999993,0.1999999999999993,0.0,0.0
eth-updown-15m-1771841700,polymarket,eth,1771841700,1771842600,NO,NO,-28670,NO,0.49,10.0,true,352.73,-8481,true,5.1,5.1,0.0,0.0
sol-updown-15m-1771841700,polymarket,sol,1771841700,1771842600,NO,YES,-27780,YES,0.49,10.0,true,199.58,15639,true,0.1999999999999993,0.1999999999999993,0.0,0.0
xrp-updown-15m-1771841700,polymarket,xrp,1771841700,1771842600,NO,NO,-28665,NO,0.49,10.0,true,102.83,38236,true,5.1,5.1,0.0,0.0
btc-updown-5m-1771842000,polymarket,btc,1771842000,1771842300,NO,YES,-28304,YES,0.49,10.0,true,81.13,4948,true,0.1999999999999993,0.1999999999999993,0.0,0.0
btc-updown-5m-1771842600,polymarket,btc,1771842600,1771842900,NO,NO,-29227,NO,0.49,10.0,true,24.19,66818,true,5.1,5.1,0.0,0.0
btc-updown-5m-1771843200,polymarket,btc,1771843200,1771843500,NO,NO,-29131,NO,0.49,10.0,true,0.0,30065,true,5.1,5.1,0.0,0.0
btc-updown-15m-1771843500,polymarket,btc,1771843500,1771844400,NO,YES,-28206,YES,0.49,10.0,true,0.0,21951,true,0.1999999999999993,0.1999999999999993,0.0,0.0
eth-updown-15m-1771843500,polymarket,eth,1771843500,1771844400,NO,YES,-28230,YES,0.49,10.0,true,87.52,64671,true,0.1999999999999993,0.1999999999999993,0.0,0.0
sol-updown-15m-1771843500,polymarket,sol,1771843500,1771844400,NO,YES,-28596,YES,0.49,10.0,true,19.63,57435,true,0.1999999999999993,0.1999999999999993,0.0,0.0
xrp-updown-15m-1771843500,polymarket,xrp,1771843500,1771844400,NO,YES,-28435,YES,0.49,10.0,true,0.0,-2077,true,0.1999999999999993,0.1999999999999993,0.0,0.0
btc-updown-5m-1771843800,polymarket,btc,1771843800,1771844100,NO,YES,-25388,YES,0.49,10.0,true,56.15,5185,true,0.1999999999999993,0.1999999999999993,0.0,0.0
btc-updown-5m-1771844400,polymarket,btc,1771844400,1771844700,NO,YES,-28001,YES,0.49,10.0,true,569.29,30362,false,-4.9,-4.9,0.0,0.0
btc-updown-5m-1771845000,polymarket,btc,1771845000,1771845300,NO,YES,-29031,YES,0.49,10.0,true,31.33,36281,true,0.1999999999999993,0.1999999999999993,0.0,0.0
btc-updown-15m-1771845300,polymarket,btc,1771845300,1771846200,NO,YES,-29004,YES,0.49,10.0,true,0.0,-24200,true,0.1999999999999993,0.1999999999999993,0.0,0.0
eth-updown-15m-1771845300,polymarket,eth,1771845300,1771846200,NO,YES,-28646,YES,0.49,10.0,true,0.0,74027,false,-4.9,-4.9,0.0,0.0
sol-updown-15m-1771845300,polymarket,sol,1771845300,1771846200,NO,YES,-28267,YES,0.49,10.0,true,21.51,-13407,true,0.1999999999999993,0.1999999999999993,0.0,0.0
